Nazwa		Wycinanie[5]	Obrabianie[17]	Frezowanie[13]	Fazowanie[9]	Skrawanie[4]	Szlifowanie[6]	Skrecanie[2]	Malowanie[12]	Suszenie[5]	Pakowanie[4]
Mlotek		5				4				5				2				1				1				0				2				2			3
Mlotek		5				4				5				2				1				1				0				2				2			3
Mlotek		5				4				5				2				1				1				0				2				2			3
Mlotek		5				4				5				2				1				1				0				2				2			3
Mlotek		5				4				5				2				1				1				0				2				2			3
Pila		10				13				7				1				7				10				1				1				1			4
Pila		10				13				7				1				7				10				1				1				1			4
Pila		10				13				7				1				7				10				1				1				1			4
Pila		10				13				7				1				7				10				1				1				1			4
Pila		10				13				7				1				7				10				1				1				1			4
Wiertarka	13				14				9				3				5				4				10				5				3			7
Wiertarka	13				14				9				3				5				4				10				5				3			7
Wiertarka	13				14				9				3				5				4				10				5				3			7
Srubokret	2				1				1				0				2				1				0				1				1			6
Srubokret	2				1				1				0				2				1				0				1				1			6
Srubokret	2				1				1				0				2				1				0				1				1			6
Srubokret	2				1				1				0				2				1				0				1				1			6
Srubokret	2				1				1				0				2				1				0				1				1			6
Dluto		4				2				2				1				3				4				1				1				1			3
Dluto		4				2				2				1				3				4				1				1				1			3
Dluto		4				2				2				1				3				4				1				1				1			3
Lom			1				2				1				0				1				0				0				2				2			3
Hebel		6				5				6				3				5				6				4				3				2			5
Hebel		6				5				6				3				5				6				4				3				2			5
Hebel		6				5				6				3				5				6				4				3				2			5
Kilof		2				3				1				0				1				0				0				1				1			6
Kilof		2				3				1				0				1				0				0				1				1			6
Kilof		2				3				1				0				1				0				0				1				1			6
Kilof		2				3				1				0				1				0				0				1				1			6
Nozyce		4				3				2				1				2				6				1				2				3			3
Nozyce		4				3				2				1				2				6				1				2				3			3
Nozyce		4				3				2				1				2				6				1				2				3			3
Nozyce		4				3				2				1				2				6				1				2				3			3
Kleszcze	5				3				4				3				3				5				4				3				4			4
Kleszcze	5				3				4				3				3				5				4				3				4			4
Kleszcze	5				3				4				3				3				5				4				3				4			4
Kleszcze	5				3				4				3				3				5				4				3				4			4
Kleszcze	5				3				4				3				3				5				4				3				4			4
Kleszcze	5				3				4				3				3				5				4				3				4			4
