Nazwa	Odlanie[7]	Hartowanie[5]	Szlifowanie[2]	Skladanie[3]	Malowanie[6]	Obrandowanie[3]	Suszenie[9]	Pakowanie[2]	Kontrola[2]
Mlotek	7	9	3	2	2	1	6	1	1
Mlotek	7	9	3	2	2	1	6	1	1
Mlotek	7	9	3	2	2	1	6	1	1
Mlotek	7	9	3	2	2	1	6	1	1
Mlotek	7	9	3	2	2	1	6	1	1
Mlotek	7	9	3	2	2	1	6	1	1
Mlotek	7	9	3	2	2	1	6	1	1
Mlotek	7	9	3	2	2	1	6	1	1
Mlotek	7	9	3	2	2	1	6	1	1
Mlotek	7	9	3	2	2	1	6	1	1
Mlotek	7	9	3	2	2	1	6	1	1
Srubokret	9	9	6	1	3	2	3	2	1
Srubokret	9	9	6	1	3	2	3	2	1
Srubokret	9	9	6	1	3	2	3	2	1
Srubokret	9	9	6	1	3	2	3	2	1
Srubokret	9	9	6	1	3	2	3	2	1
Srubokret	9	9	6	1	3	2	3	2	1
Srubokret	9	9	6	1	3	2	3	2	1
Srubokret	9	9	6	1	3	2	3	2	1
Srubokret	9	9	6	1	3	2	3	2	1
Srubokret	9	9	6	1	3	2	3	2	1
Srubokret	9	9	6	1	3	2	3	2	1
Srubokret	9	9	6	1	3	2	3	2	1
Srubokret	9	9	6	1	3	2	3	2	1
Srubokret	9	9	6	1	3	2	3	2	1
Suwmiarka	8	2	7	5	4	1	2	2	4
Suwmiarka	8	2	7	5	4	1	2	2	4
Suwmiarka	8	2	7	5	4	1	2	2	4
Suwmiarka	8	2	7	5	4	1	2	2	4
Suwmiarka	8	2	7	5	4	1	2	2	4
Suwmiarka	8	2	7	5	4	1	2	2	4
Suwmiarka	8	2	7	5	4	1	2	2	4
Suwmiarka	8	2	7	5	4	1	2	2	4
Suwmiarka	8	2	7	5	4	1	2	2	4
Suwmiarka	8	2	7	5	4	1	2	2	4
Suwmiarka	8	2	7	5	4	1	2	2	4
Suwmiarka	8	2	7	5	4	1	2	2	4
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Wiertlo	6	8	6	0	2	1	1	2	2
Kombinerki	7	4	5	4	3	2	1	1	2
Kombinerki	7	4	5	4	3	2	1	1	2
Kombinerki	7	4	5	4	3	2	1	1	2
Kombinerki	7	4	5	4	3	2	1	1	2
Kombinerki	7	4	5	4	3	2	1	1	2
Kombinerki	7	4	5	4	3	2	1	1	2
Kombinerki	7	4	5	4	3	2	1	1	2
Kombinerki	7	4	5	4	3	2	1	1	2
Kombinerki	7	4	5	4	3	2	1	1	2
Kombinerki	7	4	5	4	3	2	1	1	2
Kombinerki	7	4	5	4	3	2	1	1	2
Kombinerki	7	4	5	4	3	2	1	1	2
Kombinerki	7	4	5	4	3	2	1	1	2
Kombinerki	7	4	5	4	3	2	1	1	2
Gwozdz	4	4	2	0	1	1	2	1	1
Gwozdz	4	4	2	0	1	1	2	1	1
Gwozdz	4	4	2	0	1	1	2	1	1
Gwozdz	4	4	2	0	1	1	2	1	1
Gwozdz	4	4	2	0	1	1	2	1	1
Gwozdz	4	4	2	0	1	1	2	1	1
Gwozdz	4	4	2	0	1	1	2	1	1
Gwozdz	4	4	2	0	1	1	2	1	1
Gwozdz	4	4	2	0	1	1	2	1	1
Gwozdz	4	4	2	0	1	1	2	1	1
Gwozdz	4	4	2	0	1	1	2	1	1
Sekator	7	5	4	4	5	2	2	4	3
Sekator	7	5	4	4	5	2	2	4	3
Sekator	7	5	4	4	5	2	2	4	3
Sekator	7	5	4	4	5	2	2	4	3
Sekator	7	5	4	4	5	2	2	4	3
Sekator	7	5	4	4	5	2	2	4	3
Sekator	7	5	4	4	5	2	2	4	3
Sekator	7	5	4	4	5	2	2	4	3
Sekator	7	5	4	4	5	2	2	4	3
Sekator	7	5	4	4	5	2	2	4	3
Sekator	7	5	4	4	5	2	2	4	3
Sekator	7	5	4	4	5	2	2	4	3
Sekator	7	5	4	4	5	2	2	4	3
Lopata	5	5	3	2	6	3	4	3	2
Lopata	5	5	3	2	6	3	4	3	2
Lopata	5	5	3	2	6	3	4	3	2
Lopata	5	5	3	2	6	3	4	3	2
Lopata	5	5	3	2	6	3	4	3	2
Lopata	5	5	3	2	6	3	4	3	2
Lopata	5	5	3	2	6	3	4	3	2
Lopata	5	5	3	2	6	3	4	3	2
Lopata	5	5	3	2	6	3	4	3	2
Lopata	5	5	3	2	6	3	4	3	2
Lopata	5	5	3	2	6	3	4	3	2
Lopata	5	5	3	2	6	3	4	3	2
Lopata	5	5	3	2	6	3	4	3	2
Lopata	5	5	3	2	6	3	4	3	2
