Nazwa		Wycinanie[5]	Pranie[17]	Suszenie[13]	Strzepienie[9]		Sklejanie[4]	Zszywanie[6]	Malowanie[2]	Wygrzewanie[12]		Czyszczenie[5]	Pakowanie[4]

Misio		3				3			4				3					0				5				0				0					5				8
Misio		3				3			4				3					0				5				0				0					5				8
Misio		3				3			4				3					0				5				0				0					5				8
Misio		3				3			4				3					0				5				0				0					5				8
Misio		3				3			4				3					0				5				0				0					5				8
Misio		3				3			4				3					0				5				0				0					5				8
Misio		3				3			4				3					0				5				0				0					5				8
Misio		3				3			4				3					0				5				0				0					5				8
Misio		3				3			4				3					0				5				0				0					5				8
Misio		3				3			4				3					0				5				0				0					5				8
Misio		3				3			4				3					0				5				0				0					5				8

Lalka		3				0			0				0					4				0				6				7					3				7
Lalka		3				0			0				0					4				0				6				7					3				7
Lalka		3				0			0				0					4				0				6				7					3				7
Lalka		3				0			0				0					4				0				6				7					3				7
Lalka		3				0			0				0					4				0				6				7					3				7
Lalka		3				0			0				0					4				0				6				7					3				7
Lalka		3				0			0				0					4				0				6				7					3				7
Lalka		3				0			0				0					4				0				6				7					3				7
Lalka		3				0			0				0					4				0				6				7					3				7
Lalka		3				0			0				0					4				0				6				7					3				7
Lalka		3				0			0				0					4				0				6				7					3				7

Piesio		3				4			7				2					5				3				3				4					1				4
Piesio		3				4			7				2					5				3				3				4					1				4
Piesio		3				4			7				2					5				3				3				4					1				4
Piesio		3				4			7				2					5				3				3				4					1				4
Piesio		3				4			7				2					5				3				3				4					1				4
Piesio		3				4			7				2					5				3				3				4					1				4
Piesio		3				4			7				2					5				3				3				4					1				4
Piesio		3				4			7				2					5				3				3				4					1				4
Piesio		3				4			7				2					5				3				3				4					1				4
Piesio		3				4			7				2					5				3				3				4					1				4
Piesio		3				4			7				2					5				3				3				4					1				4
Piesio		3				4			7				2					5				3				3				4					1				4
Piesio		3				4			7				2					5				3				3				4					1				4

Miecz		8				0			0				2					7				1				9				8					7				6
Miecz		8				0			0				2					7				1				9				8					7				6
Miecz		8				0			0				2					7				1				9				8					7				6
Miecz		8				0			0				2					7				1				9				8					7				6
Miecz		8				0			0				2					7				1				9				8					7				6
Miecz		8				0			0				2					7				1				9				8					7				6
Miecz		8				0			0				2					7				1				9				8					7				6
Miecz		8				0			0				2					7				1				9				8					7				6
Miecz		8				0			0				2					7				1				9				8					7				6
Miecz		8				0			0				2					7				1				9				8					7				6


Tarcza		7				0			0				1					6				3				7				3					0				4
Tarcza		7				0			0				1					6				3				7				3					0				4
Tarcza		7				0			0				1					6				3				7				3					0				4
Tarcza		7				0			0				1					6				3				7				3					0				4
Tarcza		7				0			0				1					6				3				7				3					0				4
Tarcza		7				0			0				1					6				3				7				3					0				4
Tarcza		7				0			0				1					6				3				7				3					0				4
Tarcza		7				0			0				1					6				3				7				3					0				4
Tarcza		7				0			0				1					6				3				7				3					0				4
Tarcza		7				0			0				1					6				3				7				3					0				4
Tarcza		7				0			0				1					6				3				7				3					0				4
Tarcza		7				0			0				1					6				3				7				3					0				4
Tarcza		7				0			0				1					6				3				7				3					0				4

Helm		9				2			2				2					9				7				8				6					8				7
Helm		9				2			2				2					9				7				8				6					8				7
Helm		9				2			2				2					9				7				8				6					8				7
Helm		9				2			2				2					9				7				8				6					8				7
Helm		9				2			2				2					9				7				8				6					8				7
Helm		9				2			2				2					9				7				8				6					8				7
Helm		9				2			2				2					9				7				8				6					8				7
Helm		9				2			2				2					9				7				8				6					8				7
Helm		9				2			2				2					9				7				8				6					8				7
Helm		9				2			2				2					9				7				8				6					8				7
Helm		9				2			2				2					9				7				8				6					8				7

Pinokio		12				1			1				1					11				2				6				9					7				4
Pinokio		12				1			1				1					11				2				6				9					7				4
Pinokio		12				1			1				1					11				2				6				9					7				4
Pinokio		12				1			1				1					11				2				6				9					7				4
Pinokio		12				1			1				1					11				2				6				9					7				4
Pinokio		12				1			1				1					11				2				6				9					7				4
Pinokio		12				1			1				1					11				2				6				9					7				4
Pinokio		12				1			1				1					11				2				6				9					7				4
Pinokio		12				1			1				1					11				2				6				9					7				4

Lopatka		3				1			1				0					2				0				2				2					0				3
Lopatka		3				1			1				0					2				0				2				2					0				3
Lopatka		3				1			1				0					2				0				2				2					0				3
Lopatka		3				1			1				0					2				0				2				2					0				3
Lopatka		3				1			1				0					2				0				2				2					0				3
Lopatka		3				1			1				0					2				0				2				2					0				3
Lopatka		3				1			1				0					2				0				2				2					0				3
Lopatka		3				1			1				0					2				0				2				2					0				3
Lopatka		3				1			1				0					2				0				2				2					0				3
Lopatka		3				1			1				0					2				0				2				2					0				3

Wiaderko	2				0			0				0					3				1				2				3					1				2
Wiaderko	2				0			0				0					3				1				2				3					1				2
Wiaderko	2				0			0				0					3				1				2				3					1				2
Wiaderko	2				0			0				0					3				1				2				3					1				2
Wiaderko	2				0			0				0					3				1				2				3					1				2
Wiaderko	2				0			0				0					3				1				2				3					1				2
Wiaderko	2				0			0				0					3				1				2				3					1				2
Wiaderko	2				0			0				0					3				1				2				3					1				2
Wiaderko	2				0			0				0					3				1				2				3					1				2
Wiaderko	2				0			0				0					3				1				2				3					1				2
Wiaderko	2				0			0				0					3				1				2				3					1				2
Wiaderko	2				0			0				0					3				1				2				3					1				2
Wiaderko	2				0			0				0					3				1				2				3					1				2

Pilka		11				3			4				1					9				11				3				2					3				4
Pilka		11				3			4				1					9				11				3				2					3				4
Pilka		11				3			4				1					9				11				3				2					3				4
Pilka		11				3			4				1					9				11				3				2					3				4
Pilka		11				3			4				1					9				11				3				2					3				4
Pilka		11				3			4				1					9				11				3				2					3				4
Pilka		11				3			4				1					9				11				3				2					3				4
Pilka		11				3			4				1					9				11				3				2					3				4
Pilka		11				3			4				1					9				11				3				2					3				4
Pilka		11				3			4				1					9				11				3				2					3				4
Pilka		11				3			4				1					9				11				3				2					3				4
Pilka		11				3			4				1					9				11				3				2					3				4
Pilka		11				3			4				1					9				11				3				2					3				4


























